n_step,n_eval,f_best,f_avg,f_std,test_f1_best,test_top1_best
0,1,0.9834862370043992,0.0,0.0,0.9836210062431142,0.9108
1,24,0.892253041267395,0.9562870538793504,0.0269645099710217,0.9066550548442732,0.8431
100,2400,0.5695504248142242,0.7040578859547774,0.0553833245082611,0.6613920906883544,0.621
200,4800,0.4479508399963379,0.6098530273884535,0.0679995251613418,0.5932710634386291,0.5653
300,7200,0.433115541934967,0.6184323665996393,0.0502210579455353,0.5343596221389864,0.486
400,9600,0.4195008873939514,0.5841399642328421,0.0495580065005148,0.5140476192513959,0.4489999999999999
500,12000,0.392463743686676,0.5038926340639591,0.0417563756323091,0.4842608507145892,0.4196
600,14400,0.3462121486663818,0.5046059203644594,0.0521231112749342,0.4398610666699086,0.38
700,16800,0.3462121486663818,0.4721333396931489,0.0402858668999251,0.4398610666699086,0.38
800,19200,0.3462121486663818,0.4744674637913704,0.0398120436672286,0.4398610666699086,0.38
900,21600,0.3462121486663818,0.5202345140278339,0.0465810755408231,0.4398610666699086,0.38
1000,24000,0.34621214866638184,0.45955398057897884,0.03829020410902918,0.43986106666990865,0.38
